sku,name,category,brand,price,price_usd,socket,tdp,score,vram,length_mm,height_mm,watt,memory_type,form_factor,capacity_gb,efficiency,source_site,source_url,item_sku,cpu_socket,mb_socket,mb_form_factor,gpu_length_mm,case_max_gpu_length_mm,case_max_cpu_cooler_height_mm,monitor_resolution,monitor_refresh_hz,storage_interface,storage_form_factor,pcie_version,specs_json
newegg-CPU-104580432123,Intel Xeon E-2478 - 2.8 GHz - 8-core - 16 threads - 24 MB cache - FCLGA1700 Socket - Box,cpu,Intel,12087,1678.75,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/p/274-000A-01NX9?Item=9SIATRNKFY9138&cm_sp=SP-_-3010320-_-0-_-3-_-9SIATRNKFY9138-_-cpu-_-cpu-_-12,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""cpu"", ""query_page"": 1, ""feature_map"": {""Model #"": ""BX80715E2478""}, ""feature_lines_raw"": [""Model #: BX80715E2478""], ""compatibility_params"": {""cores"": 2478}}"
newegg-CPU-114642272196,AMD Ryzen 5 5600 - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.5 GHz Socket AM4 65W None Integrated Graphics Desktop CPU Processor - 100-100000927BOX,cpu,AMD,1002,139.17,AM4,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/amd-ryzen-5-5000-series-ryzen-5-5600-vermeer-socket-am4-desktop-cpu-processor/p/N82E16819113736,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""desktop processor"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100-100000927BOX""}, ""feature_lines_raw"": [""Model #: 100-100000927BOX""], ""compatibility_params"": {""socket"": ""AM4"", ""cores"": 5}}"
newegg-CPU-11641163821,AMD EPYC 8224P 24/48 160 SP6 64MB 3000 - 100-000001134,cpu,AMD,13636,1893.89,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/p/274-000M-001Y3?Item=9SIATRNKFW1770&cm_sp=SP-_-3010426-_-0-_-3-_-9SIATRNKFW1770-_-desktop processor-_-processor-_-5,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""desktop processor"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100000001134""}, ""feature_lines_raw"": [""Model #: 100000001134""], ""compatibility_params"": {}}"
newegg-CPU-123114131534,AMD Ryzen 9 9900X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 12-Core 4.4 GHz - Socket AM5 120W - Radeon Graphics Processor - 100-100000662WOF,cpu,AMD,2606,361.94,AM5,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/amd-ryzen-9-9000-series-ryzen-9-9900x-granite-ridge-socket-am5-desktop-cpu-processor/p/N82E16819113842,,AM5,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""cpu"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100-100000662WOF""}, ""feature_lines_raw"": [""Model #: 100-100000662WOF""], ""compatibility_params"": {""socket"": ""AM5"", ""cores"": 9}}"
newegg-CPU-127919533093,AMD Ryzen 7 7700X - Zen 4 8-Core 4.5 GHz - Socket AM5 - 105W Desktop Processor (100-100000591WOF),cpu,AMD,1728,240.00,AM5,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/amd-ryzen-7-7700x-ryzen-7-7000-series-raphael-zen-4-socket-am5/p/N82E16819113768,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""cpu"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100-100000591WOF""}, ""feature_lines_raw"": [""Model #: 100-100000591WOF""], ""compatibility_params"": {""socket"": ""AM5"", ""cores"": 7}}"
newegg-CPU-128241593635,AMD Ryzen 7 7800X3D - Ryzen 7 7000 Series Zen 4 8-Core 4.2 GHz - Socket AM5 120W - AMD Radeon Graphics Desktop Processor - 100-100000910WOF,cpu,AMD,2655,368.75,AM5,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/amd-ryzen-7-7800x3d-ryzen-7-7000-series-raphael-zen-4-socket-am5/p/N82E16819113793,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""desktop processor"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100-100000910WOF""}, ""feature_lines_raw"": [""Model #: 100-100000910WOF""], ""compatibility_params"": {""socket"": ""AM5"", ""cores"": 7}}"
newegg-CPU-131488655521,AMD Ryzen 7 7700X - Zen 4 8-Core 4.5 GHz - Socket AM5 - 105W Desktop Processor (100-100000591WOF),cpu,AMD,1728,240.00,AM5,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/amd-ryzen-7-7700x-ryzen-7-7000-series-raphael-zen-4-socket-am5/p/N82E16819113768,,AM5,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""cpu"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100-100000591WOF""}, ""feature_lines_raw"": [""Model #: 100-100000591WOF""], ""compatibility_params"": {""socket"": ""AM5"", ""cores"": 7}}"
newegg-CPU-131961758278,AMD Ryzen 9 7950X3D - Ryzen 9 7000 Series Zen 4 16-Core 4.2 GHz - Socket AM5 120W - AMD Radeon Graphics Desktop Processor - 100-100000908WOF,cpu,AMD,4487,623.19,AM5,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/amd-ryzen-9-7950x3d-ryzen-9-7000-series-raphael-zen-4-socket-am5/p/N82E16819113791,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""cpu"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100-100000908WOF""}, ""feature_lines_raw"": [""Model #: 100-100000908WOF""], ""compatibility_params"": {""socket"": ""AM5"", ""cores"": 9}}"
newegg-CPU-158074044540,AMD Ryzen 5 5600 - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.5 GHz Socket AM4 65W None Integrated Graphics Desktop CPU Processor - 100-100000927BOX,cpu,AMD,1002,139.17,AM4,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/amd-ryzen-5-5000-series-ryzen-5-5600-vermeer-socket-am4-desktop-cpu-processor/p/N82E16819113736,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""cpu"", ""query_page"": 1, ""feature_map"": {""Model #"": ""100-100000927BOX""}, ""feature_lines_raw"": [""Model #: 100-100000927BOX""], ""compatibility_params"": {""socket"": ""AM4"", ""cores"": 5}}"
newegg-CPU-168316970959,"INTEL INTEL XEON Silver 4215R Processor (11M Cache, 3.20 GHZ) FCLGA3647, Tray Computer Components Processors - Server XEON (CD8069504449200)",cpu,INTEL,5974,829.72,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/p/2MN-0004-008R5?Item=9SIATRNKFW2286&cm_sp=SP-_-3010426-_-0-_-3-_-9SIATRNKFW2286-_-cpu-_-cpu-_-18,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""cpu"", ""query_page"": 1, ""feature_map"": {""Model #"": ""CD8069504449200-0""}, ""feature_lines_raw"": [""Model #: CD8069504449200-0""], ""compatibility_params"": {}}"
